City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Bubaque,100,GW,1630002824,77,11.2833,-15.8333,80.51,4.83
1,Rikitea,0,PF,1630002824,70,-23.1203,-134.9692,71.71,11.45
2,Vaini,40,TO,1630002825,82,-21.2,-175.2,64.56,10.36
3,Busselton,50,AU,1630002825,55,-33.65,115.3333,47.08,16.71
4,Saskylakh,100,RU,1630002825,87,71.9167,114.0833,36.55,16.93
5,Hofn,88,IS,1630002826,98,64.2539,-15.2082,54.39,7.61
6,Chokurdakh,100,RU,1630002826,75,70.6333,147.9167,45.81,10.16
7,Wuwei,96,CN,1630002827,27,37.9281,102.6414,64.09,2.86
8,Uyemskiy,75,RU,1630002827,93,64.4743,40.8524,44.65,4.47
9,Hithadhoo,97,MV,1630002828,72,-0.6,73.0833,82.62,8.88
10,Jiuquan,99,CN,1630002828,32,39.7432,98.5174,63.81,6.64
11,Bredasdorp,100,ZA,1630002828,87,-34.5322,20.0403,51.12,17.27
12,Saint-Philippe,46,RE,1630002829,78,-21.3585,55.7679,67.59,14.38
13,Hobart,40,AU,1630002679,95,-42.8794,147.3294,46.26,4.61
14,Avarua,90,CK,1630002829,94,-21.2078,-159.775,66.25,2.3
15,Port Elizabeth,1,ZA,1630002829,94,-33.918,25.5701,59.29,3.44
16,Lebu,77,CL,1630002830,72,-37.6167,-73.65,51.01,1.77
17,Souillac,40,MU,1630002830,73,-20.5167,57.5167,70.18,9.22
18,Puerto Madryn,100,AR,1630002652,67,-42.7692,-65.0385,45.14,32.26
19,Ushuaia,0,AR,1630002611,56,-54.8,-68.3,40.66,0.0
20,Jerome,1,US,1630002831,32,42.7241,-114.5186,72.95,8.05
21,Butaritari,100,KI,1630002831,75,3.0707,172.7902,81.93,13.31
22,Naze,9,JP,1630002832,81,28.3667,129.4833,76.84,3.04
23,Hermanus,100,ZA,1630002832,90,-34.4187,19.2345,49.8,17.34
24,Faanui,70,PF,1630002832,61,-16.4833,-151.75,78.98,12.97
25,Beringovskiy,6,RU,1630002833,73,63.05,179.3167,46.87,7.85
26,Ilulissat,75,GL,1630002833,76,69.2167,-51.1,44.62,6.91
27,Talnakh,100,RU,1630002834,93,69.4865,88.3972,45.59,9.06
28,São Filipe,99,CV,1630002834,89,14.8961,-24.4956,78.66,8.68
29,Cape Town,90,ZA,1630002646,88,-33.9258,18.4232,51.89,5.99
30,Puerto Ayora,95,EC,1630002834,82,-0.7393,-90.3518,76.96,8.99
31,Victor Harbor,7,AU,1630002835,91,-35.5667,138.6167,45.91,5.39
32,Gilgit,45,PK,1630002835,54,35.9221,74.3087,82.06,3.85
33,Dikson,21,RU,1630002836,76,73.5069,80.5464,37.87,15.32
34,Kwekwe,0,ZW,1630002836,31,-18.9281,29.8149,64.78,5.48
35,Torbay,20,CA,1630002836,77,47.6666,-52.7314,65.28,8.05
36,Tuktoyaktuk,75,CA,1630002837,88,69.4541,-133.0374,55.4,12.66
37,Mezen',94,RU,1630002837,83,65.8522,44.24,43.84,5.08
38,Pisco,0,PE,1630002837,64,-13.7,-76.2167,68.05,10.36
39,Punta Arenas,40,CL,1630002611,70,-53.15,-70.9167,42.91,6.91
40,Valley City,90,US,1630002807,82,46.9233,-98.0032,65.39,10.36
41,Guerrero Negro,0,MX,1630002838,53,27.9769,-114.0611,86.22,10.76
42,Upernavik,100,GL,1630002838,97,72.7868,-56.1549,38.57,12.44
43,New Norfolk,100,AU,1630002839,90,-42.7826,147.0587,45.9,1.5
44,Qaanaaq,100,GL,1630002839,96,77.484,-69.3632,37.83,6.98
45,Sioux Lookout,75,CA,1630002840,72,50.1001,-91.917,57.58,4.61
46,Albany,10,US,1630002696,64,42.6001,-73.9662,93.31,2.84
47,Cherskiy,95,RU,1630002840,83,68.75,161.3,42.78,5.03
48,Nikolskoye,100,RU,1630002841,82,59.7035,30.7861,57.09,8.81
49,Ixtapa,90,MX,1630002563,74,20.7,-105.2,89.22,5.75
50,Mar del Plata,20,AR,1630002551,22,-38.0023,-57.5575,66.22,25.32
51,Yellowknife,40,CA,1630002792,68,62.456,-114.3525,64.92,9.22
52,Bowen,0,AU,1630002841,84,-20.0167,148.2333,57.42,6.91
53,Manta,90,EC,1630002842,83,-0.95,-80.7333,74.98,9.22
54,Bambous Virieux,40,MU,1630002842,73,-20.3428,57.7575,70.05,9.22
55,Pevek,100,RU,1630002842,83,69.7008,170.3133,34.88,4.83
56,Severo-Kuril'sk,100,RU,1630002843,88,50.6789,156.125,53.56,6.58
57,Alofi,100,NU,1630002843,77,-19.0595,-169.9187,64.29,8.05
58,Atuona,0,PF,1630002843,72,-9.8,-139.0333,77.9,21.32
59,Khatanga,98,RU,1630002844,85,71.9667,102.5,36.45,4.63
60,Sangamner,100,IN,1630002844,85,19.5667,74.2167,74.95,4.88
61,Derzhavīnsk,3,KZ,1630002845,30,51.1,66.3167,71.37,8.21
62,Goderich,0,CA,1630002845,78,43.7501,-81.7165,87.03,11.5
63,Kungurtug,11,RU,1630002845,84,50.5994,97.5228,39.94,2.35
64,Mataura,100,NZ,1630002846,99,-46.1927,168.8643,41.49,1.7
65,Marsabit,0,KE,1630002846,33,2.3284,37.9899,70.83,20.8
66,Jamestown,81,US,1630002846,57,42.097,-79.2353,88.18,5.01
67,Carnarvon,0,AU,1630002847,71,-24.8667,113.6333,60.87,13.8
68,Nālūt,0,LY,1630002847,15,30.3333,10.85,91.27,8.34
69,Tervel Municipality,100,BG,1630002847,78,43.75,27.4,67.23,4.23
70,Doha,0,QA,1630002848,60,25.2867,51.5333,100.71,4.61
71,Bluff,91,NZ,1630002848,72,-46.6,168.3333,41.81,9.13
72,Okhotsk,100,RU,1630002848,99,59.3833,143.3,56.79,2.77
73,Port Macquarie,6,AU,1630002652,80,-31.4333,152.9167,49.82,5.82
74,Port Alfred,9,ZA,1630002849,82,-33.5906,26.891,64.24,7.38
75,Kumul,95,CN,1630002849,19,42.8,93.45,77.34,3.18
76,Isangel,8,VU,1630002850,73,-19.55,169.2667,71.2,11.97
77,Kirakira,83,SB,1630002850,84,-10.4544,161.9205,79.02,10.89
78,Witu,95,KE,1630002850,80,-2.3889,40.4382,77.16,11.77
79,Houma,40,US,1630002851,73,29.5958,-90.7195,88.0,12.66
80,Saldanha,100,ZA,1630002851,88,-33.0117,17.9442,51.85,23.47
81,Akabira,99,JP,1630002851,97,43.5514,142.0531,62.76,2.98
82,Hilo,90,US,1630002594,83,19.7297,-155.09,78.24,8.05
83,Dwārka,100,IN,1630002852,74,22.2394,68.9678,82.11,17.6
84,Provideniya,99,RU,1630002853,67,64.3833,-173.3,39.25,9.62
85,Jega,100,NG,1630002853,78,12.2175,4.3792,79.79,7.31
86,Whyalla,1,AU,1630002665,74,-33.0333,137.5833,46.98,6.02
87,Tiksi,100,RU,1630002854,96,71.6872,128.8694,39.7,18.54
88,Changzhou,100,CN,1630002854,98,31.7833,119.9667,72.91,5.39
89,Tavricheskoye,2,RU,1630002854,56,54.5851,73.6395,69.71,6.62
90,Puerto Madero,40,MX,1630002855,70,14.7208,-92.4215,88.0,0.0
91,Chui,0,UY,1630002855,46,-33.6971,-53.4616,60.93,4.0
92,Ponta do Sol,25,PT,1630002855,77,32.6667,-17.1,80.01,6.85
93,Miyang,100,CN,1630002856,97,24.4042,103.4428,63.64,2.06
94,Killybegs,47,IE,1630002856,90,54.6333,-8.45,60.51,2.95
95,Kavieng,51,PG,1630002857,77,-2.5744,150.7967,81.63,12.53
96,Castro,65,BR,1630002857,47,-24.7911,-50.0119,70.93,10.69
97,Kapaa,40,US,1630002857,71,22.0752,-159.319,80.92,3.0
98,Aboyne,1,GB,1630002858,86,57.0755,-2.7802,58.75,5.12
99,Bunia,76,CD,1630002858,59,1.5667,30.25,69.69,0.6
100,Honningsvåg,100,NO,1630002858,68,70.9821,25.9704,50.86,13.15
101,Richards Bay,46,ZA,1630002859,58,-28.783,32.0377,77.2,15.99
102,Enfield,0,AU,1630002755,80,-34.8526,138.6026,45.61,4.0
103,Tuatapere,100,NZ,1630002859,94,-46.1333,167.6833,41.83,2.98
104,Horsham,75,GB,1630002859,52,51.064,-0.3272,65.48,10.36
105,Itarema,9,BR,1630002860,62,-2.9248,-39.9167,83.86,21.7
106,Vila Franca do Campo,47,PT,1630002860,62,37.7167,-25.4333,72.01,9.44
107,Kudahuvadhoo,38,MV,1630002861,77,2.6708,72.8944,82.08,13.04
108,Bafra,0,TR,1630002861,89,41.5678,35.9069,74.98,2.13
109,Rocha,4,UY,1630002861,49,-34.4833,-54.3333,62.31,8.57
110,Faya,8,SA,1630002862,30,18.3851,42.4509,72.12,8.81
111,Fortuna,75,US,1630002862,79,40.5982,-124.1573,67.32,5.01
112,Sørland,33,NO,1630002862,78,67.667,12.6934,57.27,6.49
113,Shiraz,0,IR,1630002863,11,29.6036,52.5388,81.84,4.61
114,Saraland,14,US,1630002863,69,30.8207,-88.0706,90.55,5.97
115,Lorengau,100,PG,1630002864,80,-2.0226,147.2712,80.1,9.75
116,Dzhebariki-Khaya,100,RU,1630002864,86,62.2167,135.8,53.8,5.7
117,Namatanai,94,PG,1630002864,83,-3.6667,152.4333,78.62,5.44
118,Belmonte,4,BR,1630002865,71,-15.8631,-38.8828,82.4,9.22
119,San Juan,1,AR,1630002865,9,-31.5375,-68.5364,72.66,5.61
120,Leh,0,IN,1630002865,29,34.1667,77.5833,66.27,6.06
121,Yulara,3,AU,1630002866,39,-25.2406,130.9889,44.44,0.0
122,Vaasa,20,FI,1630002790,87,63.096,21.6158,54.28,6.91
123,Constitución,6,CL,1630002866,56,-35.3333,-72.4167,55.8,9.53
124,Grand Baie,4,MU,1630002866,71,-20.0182,57.5802,70.27,5.01
125,Port-Gentil,40,GA,1630002867,83,-0.7193,8.7815,76.96,11.5
126,Schisma Eloundas,0,GR,1630002868,62,35.2667,25.7167,81.68,5.23
127,Karasjok,100,NO,1630002869,70,69.4719,25.5112,53.71,10.04
128,Elko,100,US,1630002869,19,41.0002,-115.5012,78.75,5.01
129,Husavik,98,IS,1630002869,76,66.0449,-17.3389,66.11,6.49
130,West Bay,40,KY,1630002870,81,19.3667,-81.4167,86.07,4.0
131,Baghdad,0,IQ,1630002857,21,33.3406,44.4009,94.91,5.75
132,Mount Isa,0,AU,1630002870,29,-20.7333,139.5,44.37,2.3
133,Coahuayana Viejo,100,MX,1630002870,65,18.7333,-103.6833,89.08,4.52
134,Ayan,59,RU,1630002871,81,56.45,138.1667,58.12,6.35
135,Ugoofaaru,70,MV,1630002871,75,5.6667,73.0,83.01,14.58
136,Kaitangata,100,NZ,1630002872,90,-46.2817,169.8464,44.1,5.23
137,Novy Urengoy,100,RU,1630002872,85,66.0833,76.6333,55.33,6.46
138,Fréjus,1,FR,1630002872,39,43.4329,6.7352,78.76,15.52
139,Huarmey,22,PE,1630002873,74,-10.0681,-78.1522,67.23,13.73
140,Paita,100,PE,1630002873,72,-5.0892,-81.1144,73.96,15.75
141,Pyn U Lwin,100,MM,1630002873,94,22.0333,96.4667,66.63,1.43
142,Lavrentiya,97,RU,1630002874,67,65.5833,-171.0,38.25,12.28
143,Seoul,75,KR,1630002819,91,37.5683,126.9778,76.51,2.3
144,Bekovo,6,RU,1630002874,54,52.4663,43.712,61.92,8.99
145,Kavaratti,100,IN,1630002875,81,10.5669,72.642,80.74,27.07
146,Saint George,1,US,1630002791,20,37.1041,-113.5841,100.87,1.01
147,Nanchang,100,CN,1630002875,96,28.6833,115.8833,76.06,5.55
148,Almaznyy,81,RU,1630002876,36,48.0448,40.045,77.14,10.07
149,Dossor,7,KZ,1630002876,31,47.5272,52.9811,81.1,10.47
150,Trat,100,TH,1630002876,97,12.5,102.5,74.61,2.77
151,Port Hawkesbury,1,CA,1630002877,70,45.6169,-61.3485,84.15,5.99
152,Umluj,7,SA,1630002877,43,25.0213,37.2685,93.99,5.82
153,Geraldton,90,AU,1630002672,76,-28.7667,114.6,54.01,8.05
154,Korla,57,CN,1630002878,32,41.7597,86.1469,74.48,15.79
155,Luanda,100,AO,1630002878,89,-8.8368,13.2343,71.44,13.62
156,Bengkulu,5,ID,1630002878,87,-3.8004,102.2655,74.55,5.84
157,Cayenne,75,GF,1630002879,64,4.9333,-52.3333,87.1,4.61
158,Kropotkin,97,RU,1630002879,69,45.4375,40.5756,76.26,5.23
159,Yangi Marg`ilon,78,UZ,1630002879,33,40.4272,71.7189,77.72,6.91
160,Sitka,75,US,1630002880,77,57.0531,-135.33,58.89,5.75
161,Mocuba,0,MZ,1630002880,78,-16.8392,36.9856,70.27,5.55
162,Ribeira Grande,20,PT,1630002880,53,38.5167,-28.7,73.8,12.66
163,Coquimbo,0,CL,1630002796,59,-29.9533,-71.3436,62.33,17.27
164,Lebyazh'ye,82,RU,1630002881,37,55.2689,66.4947,70.97,6.38
165,Touros,0,BR,1630002881,62,-5.1989,-35.4608,85.1,19.33
166,Kupang,45,ID,1630002882,81,-10.1667,123.5833,75.16,10.02
167,Tasiilaq,100,GL,1630002882,92,65.6145,-37.6368,50.16,10.94
168,Bartica,100,GY,1630002882,69,6.4,-58.6167,89.92,2.84
169,Broome,1,US,1630002883,63,42.2506,-75.833,88.02,1.01
170,Saint Paul Harbor,1,US,1630002883,77,57.79,-152.4072,56.71,0.0
171,Springbok,13,ZA,1630002883,92,-29.6643,17.8865,43.74,7.85
172,Darlawn,100,IN,1630002884,98,24.0167,92.9,68.58,1.95
173,Nanortalik,25,GL,1630002884,83,60.1432,-45.2371,45.1,16.13
174,Rapid Valley,1,US,1630002643,52,44.0625,-103.1463,86.86,1.99
175,Ifo,100,NG,1630002884,88,6.8144,3.1958,80.22,5.1
176,Anloga,100,GH,1630002885,83,5.7947,0.8973,80.82,10.78
177,Chapais,100,CA,1630002885,72,49.7834,-74.8492,64.18,12.86
178,Bereslavka,5,RU,1630002886,34,48.6254,44.0449,72.37,9.17
179,Bethel,1,US,1630002870,57,41.3712,-73.414,95.36,1.99
180,Ovsyanka,6,RU,1630002886,94,55.9575,92.5519,54.57,1.48
181,North Platte,75,US,1630002886,54,41.1239,-100.7654,82.29,10.36
182,Zinder,20,NE,1630002887,58,13.8072,8.9881,87.76,6.91
